Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Radius,Rating,Review Count,Invnetory Link
D-24770071,Spot Shop Auto LLC,N/A,"2204 Airport Blvd,  2",Austin,TX,"Austin, TX",N/A,78722,No reviews available,No image,2 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Spot-Shop-Auto-LLC-sp447072
D-24770072,"DG Auto Sales, LLC",N/A,3710 Airport blvd ste A,Austin,TX,"Austin, TX",N/A,78722,Great salesmanship.,https://static.cargurus.com/images/site/2015/11/06/14/45/dg_auto_sales__llc-pic-4330039926878153560-1600x1200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-DG-Auto-Sales-LLC-sp338654
D-24770073,Capital City Automotive,N/A,1802 S Congress Ave,Austin,TX,"Austin, TX",N/A,78704,"Big shoutout to Ansar! He was great. Made everything smooth 
and simple and very respectful. Highly recommend this place.",https://static.cargurus.com/images/site/2015/12/15/09/22/capital_city_automotive-pic-7745901166577332347-200x200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Capital-City-Automotive-sp345804
D-24770074,Land Rover Austin,N/A,1515 W 5th St,Austin,TX,"Austin, TX",N/A,78703,Truck had check engine light on. They could have checked all was working properly. Drove truck around dealership. Waist of my time. I drove 4 hours round trip. Very disappointed.,https://static.cargurus.com/images/site/2019/03/11/09/50/land_rover_austin-pic-837816010977430988-200x200.jpeg,3 mi,2.7,6,https://www.cargurus.com/Cars/m-Land-Rover-Austin-sp231144
D-24770075,Howdy Honda,N/A,5519 E Ben White Blvd,Austin,TX,"Austin, TX",N/A,78741,they were really friendly but the car was sold,https://static.cargurus.com/images/site/2020/11/12/11/54/howdy_honda-pic-9664264123801273636-200x200.jpeg,3 mi,4.1,16,https://www.cargurus.com/Cars/m-Howdy-Honda-sp278324
D-24770076,Sky's Auto Sales,N/A,5210 N I H 35,Austin,TX,"Austin, TX",N/A,78751,No reviews available,No image,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088
D-24770077,Lamborghini Austin,N/A,4108 N Lamar Blvd,Austin,TX,"Austin, TX",N/A,78756,"I’m very respectful, considerate and not pushy on sales willing to wait for my convenience and not trying to just sell me any random car.",https://static.cargurus.com/images/site/2018/07/13/09/09/lamborghini_austin-pic-660024108270852345-200x200.jpeg,4 mi,5.0,2,https://www.cargurus.com/Cars/m-Lamborghini-Austin-sp407946
D-24770078,Ferrari of Austin,N/A,6201 South IH 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78744,No reviews available,https://static.cargurus.com/images/site/2024/07/30/14/11/ferrari_of_austin-pic-6166496759163312590-200x200.jpeg,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Ferrari-of-Austin-sp340914
D-24770079,Motion Classics,N/A,209 E Ben White Blvd,Austin,TX,"Austin, TX",N/A,78704,Great experience,https://static.cargurus.com/images/site/2016/07/07/11/52/motion_classics-pic-6810936174860562981-200x200.jpeg,4 mi,5.0,9,https://www.cargurus.com/Cars/m-Motion-Classics-sp377523
D-24770080,R & D Motors,N/A,200 E 53rd St,Austin,TX,"Austin, TX",N/A,78751,No reviews available,No image,4 mi,5.0,1,https://www.cargurus.com/Cars/m-R-D-Motors-sp278332
D-24770081,CarMax Austin South,N/A,4400 South Interstate 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78745,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-CarMax-Austin-South-sp278326
D-24770082,Leif Johnson Ford Central,N/A,501 E Koenig Ln,Austin,TX,"Austin, TX",N/A,78751,Very professional,https://static.cargurus.com/images/site/2019/03/02/11/26/leif_johnson_ford_central-pic-2813239900645498675-200x200.jpeg,4 mi,4.5,11,https://www.cargurus.com/Cars/m-Leif-Johnson-Ford-Central-sp58119
D-24770083,Mazda South,N/A,4506 S I H 35,Austin,TX,"Austin, TX",N/A,78745,Good follow up on,https://static.cargurus.com/images/site/2020/04/15/12/00/mazda_south-pic-6128209378727135432-200x200.jpeg,4 mi,5.0,13,https://www.cargurus.com/Cars/m-Mazda-South-sp271640
D-24770084,South Point Hyundai,N/A,4610 Ih-35 S,Austin,TX,"Austin, TX",N/A,78745,I just found a better deal I needed to stay way under 30k for my finance. They wanted to show me a 2019 while I got a 2022 under 30k. So I went with the better deal,https://static.cargurus.com/images/site/2015/04/29/12/22/south_point_hyundai-pic-2548145938988278860-200x200.jpeg,4 mi,4.4,11,https://www.cargurus.com/Cars/m-South-Point-Hyundai-sp53640
D-24770085,Texas Central Motors,N/A,5419 N. Lamar,Austin,TX,"Austin, TX",N/A,78751,Nice,https://static.cargurus.com/images/site/2017/05/17/14/54/texas_central_motors-pic-5035610483406048395-200x200.jpeg,4 mi,5.0,1,https://www.cargurus.com/Cars/m-Texas-Central-Motors-sp284768
D-24770086,Audi South Austin,N/A,4738 S Interstate 35 Frontage Rd,Austin,TX,"Austin, TX",N/A,78745,"Very helpful, knowledgeable and accommodating",https://static.cargurus.com/images/site/2015/06/27/12/27/audi_south_austin-pic-8051384435493377797-1600x1200.jpeg,4 mi,4.2,4,https://www.cargurus.com/Cars/m-Audi-South-Austin-sp363200
D-24770087,Sterling Acura Of Austin,N/A,4801 I-35,Austin,TX,"Austin, TX",N/A,78744,No reviews available,No image,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Sterling-Acura-Of-Austin-sp59774
D-24770088,AutoNation Toyota South Austin,N/A,4800 Ih-35 South,Austin,TX,"Austin, TX",N/A,78745,Fast service and Oscar our salesperson was really professional and helpful,https://static.cargurus.com/images/site/2019/05/22/10/28/autonation_toyota_south_austin-pic-3124002641270726536-1600x1200.jpeg,4 mi,4.1,13,https://www.cargurus.com/Cars/m-AutoNation-Toyota-South-Austin-sp54809
D-24770089,City Limits Nissan,N/A,4914 South Interstate 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78745,"Overall great experience. Online purchasing and delivery was great. 
Vehicle came as described.",https://static.cargurus.com/images/site/2024/05/07/08/53/city_limits_nissan-pic-3861902037622830227-200x200.jpeg,5 mi,4.5,2,https://www.cargurus.com/Cars/m-City-Limits-Nissan-sp349657
D-24770090,Maxwell Ford,N/A,5000 South IH-35,Austin,TX,"Austin, TX",N/A,78745,Very responsive and helpful!,https://static.cargurus.com/images/site/2020/01/10/16/11/maxwell_ford-pic-8292171418163036141-200x200.jpeg,5 mi,3.9,35,https://www.cargurus.com/Cars/m-Maxwell-Ford-sp342670
D-24770091,South Point Dodge Chrysler Jeep,N/A,5210 IH-35 South,Austin,TX,"Austin, TX",N/A,78745,Good,https://static.cargurus.com/images/site/2021/02/04/14/05/south_point_dodge_chrysler_jeep-pic-14514466122524619357-200x200.jpeg,5 mi,5.0,3,https://www.cargurus.com/Cars/m-South-Point-Dodge-Chrysler-Jeep-sp302499
D-24770092,Kia of South Austin,N/A,5306 Hwy 35 S,Austin,TX,"Austin, TX",N/A,78745,fast response time,https://static.cargurus.com/images/site/2020/01/10/16/41/kia_of_south_austin-pic-8111795558701619892-200x200.jpeg,5 mi,4.2,10,https://www.cargurus.com/Cars/m-Kia-of-South-Austin-sp68022
D-24770093,BMW of South Austin,N/A,"5501 S I H 35,  SVRD NB",Austin,TX,"Austin, TX",N/A,78744,Great customer service!,https://static.cargurus.com/images/site/2018/06/21/13/21/bmw_of_south_austin-pic-3888545717999028661-200x200.jpeg,5 mi,5.0,10,https://www.cargurus.com/Cars/m-BMW-of-South-Austin-sp411035
D-24770094,Mercedes-Benz of Austin,N/A,6757 Airport Blvd,Austin,TX,"Austin, TX",N/A,78752,Great service,https://static.cargurus.com/images/site/2019/09/09/15/10/mercedes-benz_of_austin-pic-7517586999372126842-200x200.jpeg,5 mi,4.3,20,https://www.cargurus.com/Cars/m-Mercedes-Benz-of-Austin-sp272596
D-24770095,West Auto Sales,N/A,5401 South Congress Avenue,Austin,TX,"Austin, TX",N/A,78745,"Great communication, and very quick response.",https://static.cargurus.com/images/site/2021/03/11/16/00/west_auto_sales-pic-16263735601084231610-200x200.jpeg,5 mi,5.0,4,https://www.cargurus.com/Cars/m-West-Auto-Sales-sp386008
D-24770096,Volvo Cars of Austin,N/A,7216 N Interstate Hwy 35,Austin,TX,"Austin, TX",N/A,78752,"Aaron Leal was a great help and worked with me to get the vehicle I wanted. I would not hesitate to recommend 
him to anyone.",https://static.cargurus.com/images/site/2022/01/20/18/10/volvo_cars_of_austin-pic-8329852299662088746-200x200.jpeg,5 mi,5.0,3,https://www.cargurus.com/Cars/m-Volvo-Cars-of-Austin-sp231338
D-24770097,Lotus Auto Sale,N/A,1524 E Anderson Ln,Austin,TX,"Austin, TX",N/A,78752,"Amazing people 
Clean cars highly recommended",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,5 mi,4.0,4,https://www.cargurus.com/Cars/m-Lotus-Auto-Sale-sp445446
D-24770098,Porsche South Austin,N/A,6001 S I-35 Frontage Rd,Austin,TX,"Austin, TX",N/A,78744,Dealer responded to email and called promptly Attempted to set up a test drive,https://static.cargurus.com/images/site/2022/01/14/13/51/porsche_south_austin-pic-8228163025366347459-200x200.jpeg,5 mi,4.1,7,https://www.cargurus.com/Cars/m-Porsche-South-Austin-sp444734
D-24770099,Capitol Chevrolet,N/A,6200 S I H 35,Austin,TX,"Austin, TX",N/A,78745,"I spoke with the Internet sales manager, Stephen Pratt, and arranged a test drive at a certain time 
and on a certain date. Contacted him before went and he said he would have someone ready to 
work with me to take the test drive. I made sure to give him the Vin number of the vehicle I was 
interested in and wanted to test drive. I showed up and spent an hour with a salesman who could 
never find the vehicle on the lot. After an hour I left the dealership. Thank goodness there's other 
dealers in the Austin area.",https://static.cargurus.com/images/site/2024/03/22/13/55/capitol_chevrolet-pic-4327190217145008095-200x200.jpeg,5 mi,3.3,17,https://www.cargurus.com/Cars/m-Capitol-Chevrolet-sp245190
D-24770100,Twin Motors LLC,N/A,6217 South Congress,Austin,TX,"Austin, TX",N/A,78745,No reviews available,No image,6 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Twin-Motors-LLC-sp339222
D-24770101,Spot Shop Auto LLC,N/A,"2204 Airport Blvd,  2",Austin,TX,"Austin, TX",N/A,78722,No reviews available,No image,2 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Spot-Shop-Auto-LLC-sp447072
D-24770102,"DG Auto Sales, LLC",N/A,3710 Airport blvd ste A,Austin,TX,"Austin, TX",N/A,78722,Great salesmanship.,https://static.cargurus.com/images/site/2015/11/06/14/45/dg_auto_sales__llc-pic-4330039926878153560-1600x1200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-DG-Auto-Sales-LLC-sp338654
D-24770103,Capital City Automotive,N/A,1802 S Congress Ave,Austin,TX,"Austin, TX",N/A,78704,"Big shoutout to Ansar! He was great. Made everything smooth 
and simple and very respectful. Highly recommend this place.",https://static.cargurus.com/images/site/2015/12/15/09/22/capital_city_automotive-pic-7745901166577332347-200x200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Capital-City-Automotive-sp345804
D-24770104,Land Rover Austin,N/A,1515 W 5th St,Austin,TX,"Austin, TX",N/A,78703,Truck had check engine light on. They could have checked all was working properly. Drove truck around dealership. Waist of my time. I drove 4 hours round trip. Very disappointed.,https://static.cargurus.com/images/site/2019/03/11/09/50/land_rover_austin-pic-837816010977430988-200x200.jpeg,3 mi,2.7,6,https://www.cargurus.com/Cars/m-Land-Rover-Austin-sp231144
D-24770105,Howdy Honda,N/A,5519 E Ben White Blvd,Austin,TX,"Austin, TX",N/A,78741,they were really friendly but the car was sold,https://static.cargurus.com/images/site/2020/11/12/11/54/howdy_honda-pic-9664264123801273636-200x200.jpeg,3 mi,4.1,16,https://www.cargurus.com/Cars/m-Howdy-Honda-sp278324
D-24770106,Sky's Auto Sales,N/A,5210 N I H 35,Austin,TX,"Austin, TX",N/A,78751,No reviews available,No image,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088
D-24770107,Lamborghini Austin,N/A,4108 N Lamar Blvd,Austin,TX,"Austin, TX",N/A,78756,"I’m very respectful, considerate and not pushy on sales willing to wait for my convenience and not trying to just sell me any random car.",https://static.cargurus.com/images/site/2018/07/13/09/09/lamborghini_austin-pic-660024108270852345-200x200.jpeg,4 mi,5.0,2,https://www.cargurus.com/Cars/m-Lamborghini-Austin-sp407946
D-24770108,Ferrari of Austin,N/A,6201 South IH 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78744,No reviews available,https://static.cargurus.com/images/site/2024/07/30/14/11/ferrari_of_austin-pic-6166496759163312590-200x200.jpeg,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Ferrari-of-Austin-sp340914
D-24770109,Motion Classics,N/A,209 E Ben White Blvd,Austin,TX,"Austin, TX",N/A,78704,Great experience,https://static.cargurus.com/images/site/2016/07/07/11/52/motion_classics-pic-6810936174860562981-200x200.jpeg,4 mi,5.0,9,https://www.cargurus.com/Cars/m-Motion-Classics-sp377523
D-24770110,R & D Motors,N/A,200 E 53rd St,Austin,TX,"Austin, TX",N/A,78751,No reviews available,No image,4 mi,5.0,1,https://www.cargurus.com/Cars/m-R-D-Motors-sp278332
D-24770111,CarMax Austin South,N/A,4400 South Interstate 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78745,No reviews available,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-CarMax-Austin-South-sp278326
D-24770112,Leif Johnson Ford Central,N/A,501 E Koenig Ln,Austin,TX,"Austin, TX",N/A,78751,Very professional,https://static.cargurus.com/images/site/2019/03/02/11/26/leif_johnson_ford_central-pic-2813239900645498675-200x200.jpeg,4 mi,4.5,11,https://www.cargurus.com/Cars/m-Leif-Johnson-Ford-Central-sp58119
D-24770113,Mazda South,N/A,4506 S I H 35,Austin,TX,"Austin, TX",N/A,78745,Good follow up on,https://static.cargurus.com/images/site/2020/04/15/12/00/mazda_south-pic-6128209378727135432-200x200.jpeg,4 mi,5.0,13,https://www.cargurus.com/Cars/m-Mazda-South-sp271640
D-24770114,South Point Hyundai,N/A,4610 Ih-35 S,Austin,TX,"Austin, TX",N/A,78745,I just found a better deal I needed to stay way under 30k for my finance. They wanted to show me a 2019 while I got a 2022 under 30k. So I went with the better deal,https://static.cargurus.com/images/site/2015/04/29/12/22/south_point_hyundai-pic-2548145938988278860-200x200.jpeg,4 mi,4.4,11,https://www.cargurus.com/Cars/m-South-Point-Hyundai-sp53640
D-24770115,Texas Central Motors,N/A,5419 N. Lamar,Austin,TX,"Austin, TX",N/A,78751,Nice,https://static.cargurus.com/images/site/2017/05/17/14/54/texas_central_motors-pic-5035610483406048395-200x200.jpeg,4 mi,5.0,1,https://www.cargurus.com/Cars/m-Texas-Central-Motors-sp284768
D-24770116,Audi South Austin,N/A,4738 S Interstate 35 Frontage Rd,Austin,TX,"Austin, TX",N/A,78745,"Very helpful, knowledgeable and accommodating",https://static.cargurus.com/images/site/2015/06/27/12/27/audi_south_austin-pic-8051384435493377797-1600x1200.jpeg,4 mi,4.2,4,https://www.cargurus.com/Cars/m-Audi-South-Austin-sp363200
D-24770117,Sterling Acura Of Austin,N/A,4801 I-35,Austin,TX,"Austin, TX",N/A,78744,No reviews available,No image,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Sterling-Acura-Of-Austin-sp59774
D-24770118,AutoNation Toyota South Austin,N/A,4800 Ih-35 South,Austin,TX,"Austin, TX",N/A,78745,Fast service and Oscar our salesperson was really professional and helpful,https://static.cargurus.com/images/site/2019/05/22/10/28/autonation_toyota_south_austin-pic-3124002641270726536-1600x1200.jpeg,4 mi,4.1,13,https://www.cargurus.com/Cars/m-AutoNation-Toyota-South-Austin-sp54809
D-24770119,City Limits Nissan,N/A,4914 South Interstate 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78745,"Overall great experience. Online purchasing and delivery was great. 
Vehicle came as described.",https://static.cargurus.com/images/site/2024/05/07/08/53/city_limits_nissan-pic-3861902037622830227-200x200.jpeg,5 mi,4.5,2,https://www.cargurus.com/Cars/m-City-Limits-Nissan-sp349657
