Dealer ID,Dealer Name,Dealer Number,Dealer Comment,Dealer Address,Dealer City,Dealer State,dealer Iframe Map,Zip Code,Detail URL,Image From URL,Local Image URL,Title,Year,Make,Model,Vin,Price,Miles,Type,Model No,Trim,Stock,Engine Details,Transmission,Body Description,Fuel,Drive Info,MPG City,MPG Highway,Exterior Color,Star,Created Date,Batch No,Dealer Link,Monthly Pay,In Market,MPG,Interior Color,Drivetrain,Status,Dealer Inventory Count
CG-241000,GoAuto,3462302835,Alloy Wheels · Bluetooth · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=398868794/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/18/00/45/2021_nissan_altima-pic-2318785785521545942-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2021_Nissan_Altima_2.5_SV_FWD_1N4BL4DV3MN396923_396923.jpg,2021 Nissan Altima 2.5 SV FWD,2021,Nissan,Altima,1N4BL4DV3MN396923,13500,58135 mi,Used,,2.5 SV FWD,396923,182 hp 2.5L I4,Continuously Variable Transmission,Sedan,Gasoline,,,,N/A,,2024-11-16 19:02:57,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=398868794/NONE/DEFAULT,0,,32 MPG,N/A,Front-Wheel Drive,Great Deal,55,N/A
CG-241000,GoAuto,3462302835,Alloy Wheels · Steel Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=390117664/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/07/06/04/55/2019_nissan_sentra-pic-6544073444817990298-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_Nissan_Sentra_S_FWD_3N1AB7AP0KY453274_IbraNissan.jpg,2019 Nissan Sentra S FWD,2019,Nissan,Sentra,3N1AB7AP0KY453274,10500,73000 mi,Used,,S FWD,IbraNissan,N/A,Continuously Variable Transmission,Sedan,N/A,,,,N/A,,2024-11-16 19:03:10,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=390117664/NONE/DEFAULT,0,,N/A,N/A,Front-Wheel Drive,Great Deal,55,N/A
CG-241000,GoAuto,3462302835,Sunroof/Moonroof · Alloy Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=384016331/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/04/21/02/59/2021_hyundai_accent-pic-1489333272291756795-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2021_Hyundai_Accent_Limited_FWD_3KPC34A69ME138244_Haidelantra.jpg,2021 Hyundai Accent Limited FWD,2021,Hyundai,Accent,3KPC34A69ME138244,13500,34504 mi,Used,,Limited FWD,Haidelantra,120 hp 1.6L I4,Automatic,Sedan,Gasoline,,,,N/A,,2024-11-16 19:03:22,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=384016331/NONE/DEFAULT,0,,37 MPG,N/A,Front-Wheel Drive,Great Deal,55,N/A
CG-241000,GoAuto,3462302835,Alloy Wheels · Bluetooth · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=397027099/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/26/00/12/2018_kia_sportage-pic-2107836201158069850-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2018_Kia_Sportage_LX_KNDPM3AC8J7354323_197727.jpg,2018 Kia Sportage LX,2018,Kia,Sportage,KNDPM3AC8J7354323,10900,77437 mi,Used,,LX,197727,181 hp 2.4L I4,6-Speed Automatic Overdrive,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:03:35,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=397027099/NONE/DEFAULT,0,,N/A,N/A,Front-Wheel Drive,Great Deal,55,N/A
CG-241000,GoAuto,3462302835,Leather Seats · Sunroof/Moonroof · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=382958966/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/04/09/03/42/2019_maserati_ghibli-pic-2697375272347094547-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_Maserati_Ghibli_3.0L_RWD_ZAM57XSA0K1314451_Zalom.jpg,2019 Maserati Ghibli 3.0L RWD,2019,Maserati,Ghibli,ZAM57XSA0K1314451,24500,30269 mi,Used,,3.0L RWD,Zalom,345 hp 3L V6,8-Speed Automatic,Sedan,Gasoline,,,,N/A,,2024-11-16 19:03:47,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=382958966/NONE/DEFAULT,0,,20 MPG,N/A,Rear-Wheel Drive,Great Deal,55,N/A
CG-241000,GoAuto,3462302835,Navigation System · Alloy Wheels · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=370670770/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2023/11/02/01/38/2017_toyota_sienna-pic-7757201934110372504-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2017_Toyota_Sienna_LE_7_Passenger_Auto_Access_Seat_FWD_5TDKZ3DCXHS825184_13425.jpg,2017 Toyota Sienna LE 7-Passenger Auto Access Seat FWD,2017,Toyota,Sienna,5TDKZ3DCXHS825184,12500,158858 mi,Used,,LE 7-Passenger Auto Access Seat FWD,13425,296 hp 3.5L V6,8-Speed Dual Clutch,Minivan,Gasoline,,,,N/A,,2024-11-16 19:04:00,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=370670770/NONE/DEFAULT,0,,N/A,N/A,Front-Wheel Drive,Good Deal,55,N/A
CG-241000,GoAuto,3462302835,Steel Wheels · Bluetooth · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=373921848/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2023/12/14/10/00/2019_ram_promaster-pic-7754026571726204155-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_RAM_ProMaster_2500_159_High_Roof_Cargo_Van_FWD_3C6TRVDG1KE507899_COMI1234.jpg,2019 RAM ProMaster 2500 159 High Roof Cargo Van FWD,2019,RAM,ProMaster,3C6TRVDG1KE507899,23800,122752 mi,Used,,2500 159 High Roof Cargo Van FWD,COMI1234,280 hp 3.6L V6,6-Speed Automatic,Van,Gasoline,,,,White,,2024-11-16 19:04:12,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=373921848/NONE/DEFAULT,0,,N/A,N/A,Front-Wheel Drive,Fair Deal,55,N/A
CG-241000,GoAuto,3462302835,Alloy Wheels · Bluetooth · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=387172166/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/06/02/07/59/2018_bmw_x1-pic-5302856763199558522-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2018_BMW_X1_sDrive28i_FWD_WBXHU7C30J5L05186_AbbakaBmw.jpg,2018 BMW X1 sDrive28i FWD,2018,BMW,X1,WBXHU7C30J5L05186,18500,54000 mi,Used,,sDrive28i FWD,AbbakaBmw,228 hp 2L I4,8-Speed Automatic,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:04:24,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=387172166/NONE/DEFAULT,0,,27 MPG,N/A,Front-Wheel Drive,Fair Deal,55,N/A
CG-241000,GoAuto,3462302835,Alloy Wheels · Bluetooth,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=378556048/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/02/15/01/43/2014_ford_f-150-pic-8656184541884938326-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2014_Ford_F_150_STX_SuperCrew_4WD_1FTFW1EF8EKF19644_Mustmch554.jpg,2014 Ford F-150 STX SuperCrew 4WD,2014,Ford,F-150,1FTFW1EF8EKF19644,18900,96380 mi,Used,,STX SuperCrew 4WD,Mustmch554,360 hp 5L V8 Flex Fuel Vehicle,6-Speed Automatic,Pickup Truck,Flex Fuel Vehicle,,,,N/A,,2024-11-16 19:04:36,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=378556048/NONE/DEFAULT,0,,16 MPG,N/A,Four-Wheel Drive,No Rating,55,N/A
CG-241000,GoAuto,3462302835,Alloy Wheels · Third Row Seating · & more,"1502 W 34th St
Houston, TX 77018 Map & directions
https://www.GOAUTOTX.COM
Sales: (346) 230-2835",Houston,TX,,77018,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=396064602/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/20/02/52/2019_dodge_durango-pic-1211626861158889940-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2019_Dodge_Durango_GT_Plus_RWD_1C4RDHDG9KC659097_659097.jpg,2019 Dodge Durango GT Plus RWD,2019,Dodge,Durango,1C4RDHDG9KC659097,19500,64286 mi,Used,,GT Plus RWD,659097,295 hp 3.6L V6,8-Speed Automatic,SUV / Crossover,Gasoline,,,,N/A,,2024-11-16 19:04:48,1,https://www.cargurus.com/Cars/m-GoAuto-sp411151#listing=396064602/NONE/DEFAULT,0,,22 MPG,N/A,Rear-Wheel Drive,No Rating,55,N/A
