Dealer ID,Dealer Name,Dealer Number,Dealer Comment,Dealer Address,Dealer City,Dealer State,dealer Iframe Map,Zip Code,Detail URL,Image From URL,Local Image URL,Title,Year,Make,Model,Vin,Price,Miles,Type,Model No,Trim,Stock,Engine Details,Transmission,Body Description,Fuel,Drive Info,MPG City,MPG Highway,Exterior Color,Star,Created Date,Batch No,Dealer Link,Monthly Pay,In Market,MPG,Interior Color,Drivetrain,Status,Dealer Inventory Count
CG-241000,Statewide Auto Sales,8322201859,Alloy Wheels · Bluetooth · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=401181857/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/11/14/01/21/2010_ford_edge-pic-707521450750331598-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2010_Ford_Edge_SEL_2FMDK3JCXABA61938_MB-143.jpg,2010 Ford Edge SEL,2010,Ford,Edge,2FMDK3JCXABA61938,5199,132092 mi,Used,,SEL,MB-143,265 hp 3.5L V6,6-Speed Automatic Overdrive,SUV / Crossover,Gasoline,,,,White,,2024-11-14 18:06:25,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=401181857/NONE/DEFAULT,0,,N/A,Gray,Front-Wheel Drive,Good Deal,25,New arrival
CG-241000,Statewide Auto Sales,8322201859,Leather Seats · Navigation System · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=398669218/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/16/00/55/2015_chevrolet_equinox-pic-4008124868529345024-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2015_Chevrolet_Equinox_LTZ_AWD_2GNFLHE30F6277905_MB-206.jpg,2015 Chevrolet Equinox LTZ AWD,2015,Chevrolet,Equinox,2GNFLHE30F6277905,8999,88850 mi,Used,,LTZ AWD,MB-206,301 hp 3.6L V6,6-Speed Automatic,SUV / Crossover,Gasoline,,,,Blue,,2024-11-14 18:06:34,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=398669218/NONE/DEFAULT,0,,19 MPG,Gray,All-Wheel Drive,Great Deal,25,N/A
CG-241000,Statewide Auto Sales,8322201859,Sport Package · Leather Seats · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396349386/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/18/01/53/2015_mercedes-benz_e-class-pic-4615945549670672024-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2015_Mercedes_Benz_E_Class_E_350_Sedan_RWD_WDDHF5KB7FB139526_MB-191.jpg,2015 Mercedes-Benz E-Class E 350 Sedan RWD,2015,Mercedes-Benz,E-Class,WDDHF5KB7FB139526,9999,122022 mi,Used,,E 350 Sedan RWD,MB-191,302 hp 3.5L V6,7-Speed Automatic,Sedan,Gasoline,,,,Black,,2024-11-14 18:06:45,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396349386/NONE/DEFAULT,0,,24 MPG,Black,Rear-Wheel Drive,Great Deal,25,N/A
CG-241000,Statewide Auto Sales,8322201859,Leather Seats · Navigation System · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397089322/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/09/22/41/2014_chevrolet_malibu-pic-609621666998078854-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2014_Chevrolet_Malibu_LS_FWD_1G11B5SL2EF118437_MB-210.jpg,2014 Chevrolet Malibu LS FWD,2014,Chevrolet,Malibu,1G11B5SL2EF118437,6999,105375 mi,Used,,LS FWD,MB-210,196 hp 2.5L I4,6-Speed Automatic Overdrive,Sedan,Gasoline,,,,White,,2024-11-14 18:06:55,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397089322/NONE/DEFAULT,0,,30 MPG,Gray,Front-Wheel Drive,Great Deal,25,N/A
CG-241000,Statewide Auto Sales,8322201859,Leather Seats · Sunroof/Moonroof · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=395476272/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/10/03/16/29/2009_lexus_is-pic-4001222278021511860-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2009_Lexus_IS_250_RWD_JTHBK262495103525_MB-205.jpg,2009 Lexus IS 250 RWD,2009,Lexus,IS,JTHBK262495103525,7999,130775 mi,Used,,250 RWD,MB-205,204 hp 2.5L V6,6-Speed Automatic Overdrive,Sedan,Gasoline,,,,Gray,,2024-11-14 18:07:05,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=395476272/NONE/DEFAULT,0,,N/A,Gray,Rear-Wheel Drive,Great Deal,25,N/A
CG-241000,Statewide Auto Sales,8322201859,Sport Package · Leather Seats · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397028164/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/26/00/04/2016_ford_focus-pic-1996429473871660777-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2016_Ford_Focus_SE_1FADP3F22GL212257_MB-109.jpg,2016 Ford Focus SE,2016,Ford,Focus,1FADP3F22GL212257,8999,60199 mi,Used,,SE,MB-109,160 hp 2L I4 Flex Fuel Vehicle,6-Speed Automatic,Sedan,Flex Fuel Vehicle,,,,Blue,,2024-11-14 18:07:14,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=397028164/NONE/DEFAULT,0,,N/A,Black,Front-Wheel Drive,Good Deal,25,N/A
CG-241000,Statewide Auto Sales,8322201859,Leather Seats · Sunroof/Moonroof · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=400099440/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/11/01/00/50/2014_kia_soul-pic-3602412912839544140-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2014_Kia_Soul_!_KNDJX3A5XE7731030_MB-219.jpg,2014 Kia Soul !,2014,Kia,Soul,KNDJX3A5XE7731030,8999,61500 mi,Used,,!,MB-219,164 hp 2L I4,6-Speed Automatic,Wagon,Gasoline,,,,Silver,,2024-11-14 18:07:24,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=400099440/NONE/DEFAULT,0,,27 MPG,Black,Front-Wheel Drive,Great Deal,25,New arrival
CG-241000,Statewide Auto Sales,8322201859,Leather Seats · Sunroof/Moonroof · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=400484890/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/11/06/13/55/2014_lincoln_mkx-pic-3212500405057281616-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2014_Lincoln_MKX_FWD_2LMDJ6JK3EBL20369_MB-203.jpg,2014 Lincoln MKX FWD,2014,Lincoln,MKX,2LMDJ6JK3EBL20369,8499,129390 mi,Used,,FWD,MB-203,305 hp 3.7L V6,6-Speed Automatic,SUV / Crossover,Gasoline,,,,Black,,2024-11-14 18:07:36,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=400484890/NONE/DEFAULT,0,,22 MPG,Black,Front-Wheel Drive,Great Deal,25,New arrival
CG-241000,Statewide Auto Sales,8322201859,Power Mirror Package · Navigation System · & more,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=400484891/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/11/06/14/16/2020_nissan_versa-pic-1388381898489367172-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2020_Nissan_Versa_SV_FWD_3N1CN8DV6LL899489_MB-226.jpg,2020 Nissan Versa SV FWD,2020,Nissan,Versa,3N1CN8DV6LL899489,11799,77195 mi,Used,,SV FWD,MB-226,122 hp 1.6L I4,Continuously Variable Transmission,Sedan,Gasoline,,,,Gray,,2024-11-14 18:07:48,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=400484891/NONE/DEFAULT,0,,36 MPG,Black,Front-Wheel Drive,Great Deal,25,New arrival
CG-241000,Statewide Auto Sales,8322201859,Alloy Wheels · Bluetooth,"5346 Darling St
Houston, TX 77007 Map & directions
Sales: (832) 220-1859",Houston,TX,,77007,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396760300/NONE/DEFAULT,https://static.cargurus.com/images/forsale/2024/09/28/00/32/2014_chevrolet_camaro-pic-5370293047971458894-1024x768.jpeg?io=true&width=640&height=480&fit=bounds&format=jpg&auto=webp,uploads/single_image/2014_Chevrolet_Camaro_2LS_Coupe_RWD_2G1FA1E35E9293271_MB-201.jpg,2014 Chevrolet Camaro 2LS Coupe RWD,2014,Chevrolet,Camaro,2G1FA1E35E9293271,9799,129325 mi,Used,,2LS Coupe RWD,MB-201,323 hp 3.6L V6,6-Speed Automatic,Coupe,Gasoline,,,,Silver,,2024-11-14 18:07:58,1,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340#listing=396760300/NONE/DEFAULT,0,,24 MPG,Black,Rear-Wheel Drive,Great Deal,25,N/A
