Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Radius,Rating,Review Count,Invnetory Link
D-24770071,Statewide Auto Sales,N/A,5346 Darling St,Houston,TX,"Houston, TX",N/A,77007,"Great deal, great car. I have been driving the car for 60+ days and haven't had any issues. Everyone is super nice and very helpful!",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,0 mi,5.0,5,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340
D-24770072,Statewide Auto Sales,N/A,5346 Darling St,Houston,TX,"Houston, TX",N/A,77007,"Great deal, great car. I have been driving the car for 60+ days and haven't had any issues. Everyone is super nice and very helpful!",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,0 mi,5.0,5,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340
D-24770073,Reliable Auto Sales,N/A,"4802 Larkin St,  Suite A",Houston,TX,"Houston, TX",N/A,77007,Yes he made me aware of the price and the condition of the truck and that he would work with me to get me what I wanted,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,1 mi,4.3,3,https://www.cargurus.com/Cars/m-Reliable-Auto-Sales-sp378127
D-24770074,Statewide Auto Sales,N/A,5346 Darling St,Houston,TX,"Houston, TX",N/A,77007,"Great deal, great car. I have been driving the car for 60+ days and haven't had any issues. Everyone is super nice and very helpful!",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,0 mi,5.0,5,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340
D-24770075,Reliable Auto Sales,N/A,"4802 Larkin St,  Suite A",Houston,TX,"Houston, TX",N/A,77007,Yes he made me aware of the price and the condition of the truck and that he would work with me to get me what I wanted,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,1 mi,4.3,3,https://www.cargurus.com/Cars/m-Reliable-Auto-Sales-sp378127
D-24770076,Grubbs Volvo Cars Central Houston,N/A,7620 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,"Terrible experience all around. The salesman forgot my name twice, would not work with me regarding pricing or payment, and when I asked 
them to cease contact did not honor that wish.",https://static.cargurus.com/images/site/2023/08/07/10/07/grubbs_volvo_cars_central_houston-pic-1790534206663456094-200x200.jpeg,1 mi,4.2,10,https://www.cargurus.com/Cars/m-Grubbs-Volvo-Cars-Central-Houston-sp445281
D-24770077,Uptown Motor Cars,N/A,1132 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,"Fantastic experience! Kam was very patient and honest throughout the entire process. We came down from College Station to look at a vehicle. He was very straightforward and honest with what they could offer from a price & trade in value. It was a very fair offer, and he went above and beyond by replacing a torn piece of upholstery, doing a fresh oil change, and helping us with title issues with our previous car. We've had the car a few days, and we are very happy.",https://static.cargurus.com/images/site/2021/10/08/13/19/uptown_motor_cars-pic-15853898166512794058-200x200.jpeg,1 mi,4.9,7,https://www.cargurus.com/Cars/m-Uptown-Motor-Cars-sp289602
D-24770078,Tommie Vaughn Ford,N/A,1201 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,No reviews available,No image,1 mi,5.0,2,https://www.cargurus.com/Cars/m-Tommie-Vaughn-Ford-sp334047
D-24770079,Star Motor Cars,N/A,7000 Katy Road,Houston,TX,"Houston, TX",N/A,77024,Responded immediately,https://static.cargurus.com/images/site/2022/03/23/17/07/star_motor_cars-pic-1043178816096321543-200x200.jpeg,1 mi,5.0,7,https://www.cargurus.com/Cars/m-Star-Motor-Cars-sp64552
D-24770080,Aston Martin Houston,N/A,7000 Katy Rd,Houston,TX,"Houston, TX",N/A,77024,"Tom Duer, Sales Manager, is an all star!",https://static.cargurus.com/images/site/2022/09/23/11/03/aston_martin_houston-pic-10550176904900875523-200x200.jpeg,1 mi,5.0,1,https://www.cargurus.com/Cars/m-Aston-Martin-Houston-sp448491
D-24770081,Jaguar Land Rover Houston Central,N/A,7019 Old Katy Rd,Houston,TX,"Houston, TX",N/A,77024,They were very responsive and helpful,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.4,13,https://www.cargurus.com/Cars/m-Jaguar-Land-Rover-Houston-Central-sp284661
D-24770082,Fuentes Truck and Auto Sales,N/A,1501 W 15th St,Houston,TX,"Houston, TX",N/A,77008,Appreciate the test ride.,https://static.cargurus.com/images/site/2018/03/30/11/09/fuentes_truck_and_auto_sales-pic-5413599389629029070-200x200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Fuentes-Truck-and-Auto-Sales-sp397591
D-24770083,Texas Izi Auto,N/A,3216 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,Returned call -very cordial,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.7,9,https://www.cargurus.com/Cars/m-Texas-Izi-Auto-sp446378
D-24770084,Statewide Auto Sales,N/A,5346 Darling St,Houston,TX,"Houston, TX",N/A,77007,"Great deal, great car. I have been driving the car for 60+ days and haven't had any issues. Everyone is super nice and very helpful!",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,0 mi,5.0,5,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340
D-24770085,Reliable Auto Sales,N/A,"4802 Larkin St,  Suite A",Houston,TX,"Houston, TX",N/A,77007,Yes he made me aware of the price and the condition of the truck and that he would work with me to get me what I wanted,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,1 mi,4.3,3,https://www.cargurus.com/Cars/m-Reliable-Auto-Sales-sp378127
D-24770086,Grubbs Volvo Cars Central Houston,N/A,7620 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,"Terrible experience all around. The salesman forgot my name twice, would not work with me regarding pricing or payment, and when I asked 
them to cease contact did not honor that wish.",https://static.cargurus.com/images/site/2023/08/07/10/07/grubbs_volvo_cars_central_houston-pic-1790534206663456094-200x200.jpeg,1 mi,4.2,10,https://www.cargurus.com/Cars/m-Grubbs-Volvo-Cars-Central-Houston-sp445281
D-24770087,Uptown Motor Cars,N/A,1132 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,"Fantastic experience! Kam was very patient and honest throughout the entire process. We came down from College Station to look at a vehicle. He was very straightforward and honest with what they could offer from a price & trade in value. It was a very fair offer, and he went above and beyond by replacing a torn piece of upholstery, doing a fresh oil change, and helping us with title issues with our previous car. We've had the car a few days, and we are very happy.",https://static.cargurus.com/images/site/2021/10/08/13/19/uptown_motor_cars-pic-15853898166512794058-200x200.jpeg,1 mi,4.9,7,https://www.cargurus.com/Cars/m-Uptown-Motor-Cars-sp289602
D-24770088,Tommie Vaughn Ford,N/A,1201 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,No reviews available,No image,1 mi,5.0,2,https://www.cargurus.com/Cars/m-Tommie-Vaughn-Ford-sp334047
D-24770089,Star Motor Cars,N/A,7000 Katy Road,Houston,TX,"Houston, TX",N/A,77024,Responded immediately,https://static.cargurus.com/images/site/2022/03/23/17/07/star_motor_cars-pic-1043178816096321543-200x200.jpeg,1 mi,5.0,7,https://www.cargurus.com/Cars/m-Star-Motor-Cars-sp64552
D-24770090,Aston Martin Houston,N/A,7000 Katy Rd,Houston,TX,"Houston, TX",N/A,77024,"Tom Duer, Sales Manager, is an all star!",https://static.cargurus.com/images/site/2022/09/23/11/03/aston_martin_houston-pic-10550176904900875523-200x200.jpeg,1 mi,5.0,1,https://www.cargurus.com/Cars/m-Aston-Martin-Houston-sp448491
D-24770091,Jaguar Land Rover Houston Central,N/A,7019 Old Katy Rd,Houston,TX,"Houston, TX",N/A,77024,They were very responsive and helpful,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.4,13,https://www.cargurus.com/Cars/m-Jaguar-Land-Rover-Houston-Central-sp284661
D-24770092,Fuentes Truck and Auto Sales,N/A,1501 W 15th St,Houston,TX,"Houston, TX",N/A,77008,Appreciate the test ride.,https://static.cargurus.com/images/site/2018/03/30/11/09/fuentes_truck_and_auto_sales-pic-5413599389629029070-200x200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Fuentes-Truck-and-Auto-Sales-sp397591
D-24770093,Texas Izi Auto,N/A,3216 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,Returned call -very cordial,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.7,9,https://www.cargurus.com/Cars/m-Texas-Izi-Auto-sp446378
D-24770094,Statewide Auto Sales,N/A,5346 Darling St,Houston,TX,"Houston, TX",N/A,77007,"Great deal, great car. I have been driving the car for 60+ days and haven't had any issues. Everyone is super nice and very helpful!",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,0 mi,5.0,5,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340
D-24770095,Reliable Auto Sales,N/A,"4802 Larkin St,  Suite A",Houston,TX,"Houston, TX",N/A,77007,Yes he made me aware of the price and the condition of the truck and that he would work with me to get me what I wanted,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,1 mi,4.3,3,https://www.cargurus.com/Cars/m-Reliable-Auto-Sales-sp378127
D-24770096,Grubbs Volvo Cars Central Houston,N/A,7620 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,"Terrible experience all around. The salesman forgot my name twice, would not work with me regarding pricing or payment, and when I asked 
them to cease contact did not honor that wish.",https://static.cargurus.com/images/site/2023/08/07/10/07/grubbs_volvo_cars_central_houston-pic-1790534206663456094-200x200.jpeg,1 mi,4.2,10,https://www.cargurus.com/Cars/m-Grubbs-Volvo-Cars-Central-Houston-sp445281
D-24770097,Uptown Motor Cars,N/A,1132 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,"Fantastic experience! Kam was very patient and honest throughout the entire process. We came down from College Station to look at a vehicle. He was very straightforward and honest with what they could offer from a price & trade in value. It was a very fair offer, and he went above and beyond by replacing a torn piece of upholstery, doing a fresh oil change, and helping us with title issues with our previous car. We've had the car a few days, and we are very happy.",https://static.cargurus.com/images/site/2021/10/08/13/19/uptown_motor_cars-pic-15853898166512794058-200x200.jpeg,1 mi,4.9,7,https://www.cargurus.com/Cars/m-Uptown-Motor-Cars-sp289602
D-24770098,Tommie Vaughn Ford,N/A,1201 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,No reviews available,No image,1 mi,5.0,2,https://www.cargurus.com/Cars/m-Tommie-Vaughn-Ford-sp334047
D-24770099,Star Motor Cars,N/A,7000 Katy Road,Houston,TX,"Houston, TX",N/A,77024,Responded immediately,https://static.cargurus.com/images/site/2022/03/23/17/07/star_motor_cars-pic-1043178816096321543-200x200.jpeg,1 mi,5.0,7,https://www.cargurus.com/Cars/m-Star-Motor-Cars-sp64552
D-24770100,Aston Martin Houston,N/A,7000 Katy Rd,Houston,TX,"Houston, TX",N/A,77024,"Tom Duer, Sales Manager, is an all star!",https://static.cargurus.com/images/site/2022/09/23/11/03/aston_martin_houston-pic-10550176904900875523-200x200.jpeg,1 mi,5.0,1,https://www.cargurus.com/Cars/m-Aston-Martin-Houston-sp448491
D-24770101,Jaguar Land Rover Houston Central,N/A,7019 Old Katy Rd,Houston,TX,"Houston, TX",N/A,77024,They were very responsive and helpful,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.4,13,https://www.cargurus.com/Cars/m-Jaguar-Land-Rover-Houston-Central-sp284661
D-24770102,Fuentes Truck and Auto Sales,N/A,1501 W 15th St,Houston,TX,"Houston, TX",N/A,77008,Appreciate the test ride.,https://static.cargurus.com/images/site/2018/03/30/11/09/fuentes_truck_and_auto_sales-pic-5413599389629029070-200x200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Fuentes-Truck-and-Auto-Sales-sp397591
D-24770103,Texas Izi Auto,N/A,3216 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,Returned call -very cordial,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.7,9,https://www.cargurus.com/Cars/m-Texas-Izi-Auto-sp446378
D-24770104,Heights Motor Credit,N/A,625 North Loop W,Houston,TX,"Houston, TX",N/A,77008,Very professional,https://static.cargurus.com/images/site/2020/04/04/11/14/heights_motor_credit-pic-12724168732666214191-200x200.jpeg,3 mi,3.8,20,https://www.cargurus.com/Cars/m-Heights-Motor-Credit-sp407599
D-24770105,National Auto Group,N/A,2218 North Loop West,Houston,TX,"Houston, TX",N/A,77018,This dealership responded in a timely manner. I'm the only one holding up the deal.,https://static.cargurus.com/images/site/2024/09/10/11/43/national_auto_group-pic-2252147420225960868-200x200.jpeg,3 mi,5.0,4,https://www.cargurus.com/Cars/m-National-Auto-Group-sp432668
