Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Radius,Rating,Review Count,Invnetory Link
D-24787021,Spot Shop Auto LLC,N/A,"2204 Airport Blvd,  2",Austin,TX,"Austin, TX",N/A,78722,No reviews available,No image,2 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Spot-Shop-Auto-LLC-sp447072,1,1
D-24787022,"DG Auto Sales, LLC",N/A,3710 Airport blvd ste A,Austin,TX,"Austin, TX",N/A,78722,Great salesmanship.,https://static.cargurus.com/images/site/2015/11/06/14/45/dg_auto_sales__llc-pic-4330039926878153560-1600x1200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-DG-Auto-Sales-LLC-sp338654,1,1
D-24787023,Hi-Tech Automotive,N/A,1801 South Congress Avenue,Austin,TX,"Austin, TX",N/A,78704,No reviews available,No image,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Hi-Tech-Automotive-sp437841,1,1
D-24787024,Capital City Automotive,N/A,1802 S Congress Ave,Austin,TX,"Austin, TX",N/A,78704,"Big shoutout to Ansar! He was great. Made everything smooth 
and simple and very respectful. Highly recommend this place.",https://static.cargurus.com/images/site/2015/12/15/09/22/capital_city_automotive-pic-7745901166577332347-200x200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Capital-City-Automotive-sp345804,1,1
D-24787025,Land Rover Austin,N/A,1515 W 5th St,Austin,TX,"Austin, TX",N/A,78703,Truck had check engine light on. They could have checked all was working properly. Drove truck around dealership. Waist of my time. I drove 4 hours round trip. Very disappointed.,https://static.cargurus.com/images/site/2019/03/11/09/50/land_rover_austin-pic-837816010977430988-200x200.jpeg,3 mi,2.7,6,https://www.cargurus.com/Cars/m-Land-Rover-Austin-sp231144,1,1
D-24787026,Howdy Honda,N/A,5519 E Ben White Blvd,Austin,TX,"Austin, TX",N/A,78741,they were really friendly but the car was sold,https://static.cargurus.com/images/site/2020/11/12/11/54/howdy_honda-pic-9664264123801273636-200x200.jpeg,3 mi,4.1,16,https://www.cargurus.com/Cars/m-Howdy-Honda-sp278324,1,1
D-24787027,Sky's Auto Sales,N/A,5210 N I H 35,Austin,TX,"Austin, TX",N/A,78751,No reviews available,No image,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Skys-Auto-Sales-sp310088,1,1
D-24787028,Lamborghini Austin,N/A,4108 N Lamar Blvd,Austin,TX,"Austin, TX",N/A,78756,"I’m very respectful, considerate and not pushy on sales willing to wait for my convenience and not trying to just sell me any random car.",https://static.cargurus.com/images/site/2018/07/13/09/09/lamborghini_austin-pic-660024108270852345-200x200.jpeg,4 mi,5.0,2,https://www.cargurus.com/Cars/m-Lamborghini-Austin-sp407946,1,1
D-24787029,Ferrari of Austin,N/A,6201 South IH 35 Frontage Road,Austin,TX,"Austin, TX",N/A,78744,No reviews available,https://static.cargurus.com/images/site/2024/07/30/14/11/ferrari_of_austin-pic-6166496759163312590-200x200.jpeg,4 mi,N/A,N/A,https://www.cargurus.com/Cars/m-Ferrari-of-Austin-sp340914,1,1
D-24787030,Motion Classics,N/A,209 E Ben White Blvd,Austin,TX,"Austin, TX",N/A,78704,Great experience,https://static.cargurus.com/images/site/2016/07/07/11/52/motion_classics-pic-6810936174860562981-200x200.jpeg,4 mi,5.0,9,https://www.cargurus.com/Cars/m-Motion-Classics-sp377523,1,1
