Dealer ID,Dealer Name,Phone,Address,City,State,Custom Address,Dealer Iframe Map,Zip Code,About Dealer,Dealer Image,Radius,Rating,Review Count,Invnetory Link
D-24787021,Statewide Auto Sales,N/A,5346 Darling St,Houston,TX,"Houston, TX",N/A,77007,"Great deal, great car. I have been driving the car for 60+ days and haven't had any issues. Everyone is super nice and very helpful!",https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,0 mi,5.0,5,https://www.cargurus.com/Cars/m-Statewide-Auto-Sales-sp453340
D-24787022,Reliable Auto Sales,N/A,"4802 Larkin St,  Suite A",Houston,TX,"Houston, TX",N/A,77007,Yes he made me aware of the price and the condition of the truck and that he would work with me to get me what I wanted,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,1 mi,4.3,3,https://www.cargurus.com/Cars/m-Reliable-Auto-Sales-sp378127
D-24787023,Grubbs Volvo Cars Central Houston,N/A,7620 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,"Terrible experience all around. The salesman forgot my name twice, would not work with me regarding pricing or payment, and when I asked 
them to cease contact did not honor that wish.",https://static.cargurus.com/images/site/2023/08/07/10/07/grubbs_volvo_cars_central_houston-pic-1790534206663456094-200x200.jpeg,1 mi,4.1,9,https://www.cargurus.com/Cars/m-Grubbs-Volvo-Cars-Central-Houston-sp445281
D-24787024,Uptown Motor Cars,N/A,1132 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,"Fantastic experience! Kam was very patient and honest throughout the entire process. We came down from College Station to look at a vehicle. He was very straightforward and honest with what they could offer from a price & trade in value. It was a very fair offer, and he went above and beyond by replacing a torn piece of upholstery, doing a fresh oil change, and helping us with title issues with our previous car. We've had the car a few days, and we are very happy.",https://static.cargurus.com/images/site/2021/10/08/13/19/uptown_motor_cars-pic-15853898166512794058-200x200.jpeg,1 mi,4.9,7,https://www.cargurus.com/Cars/m-Uptown-Motor-Cars-sp289602
D-24787025,Tommie Vaughn Ford,N/A,1201 N Shepherd Dr,Houston,TX,"Houston, TX",N/A,77008,No reviews available,No image,1 mi,5.0,2,https://www.cargurus.com/Cars/m-Tommie-Vaughn-Ford-sp334047
D-24787026,Star Motor Cars,N/A,7000 Katy Road,Houston,TX,"Houston, TX",N/A,77024,Responded immediately,https://static.cargurus.com/images/site/2022/03/23/17/07/star_motor_cars-pic-1043178816096321543-200x200.jpeg,1 mi,5.0,7,https://www.cargurus.com/Cars/m-Star-Motor-Cars-sp64552
D-24787027,Aston Martin Houston,N/A,7000 Katy Rd,Houston,TX,"Houston, TX",N/A,77024,"Tom Duer, Sales Manager, is an all star!",https://static.cargurus.com/images/site/2022/09/23/11/03/aston_martin_houston-pic-10550176904900875523-200x200.jpeg,1 mi,5.0,1,https://www.cargurus.com/Cars/m-Aston-Martin-Houston-sp448491
D-24787028,Jaguar Land Rover Houston Central,N/A,7019 Old Katy Rd,Houston,TX,"Houston, TX",N/A,77024,They were very responsive and helpful,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.4,12,https://www.cargurus.com/Cars/m-Jaguar-Land-Rover-Houston-Central-sp284661
D-24787029,Fuentes Truck and Auto Sales,N/A,1501 W 15th St,Houston,TX,"Houston, TX",N/A,77008,Appreciate the test ride.,https://static.cargurus.com/images/site/2018/03/30/11/09/fuentes_truck_and_auto_sales-pic-5413599389629029070-200x200.jpeg,2 mi,5.0,1,https://www.cargurus.com/Cars/m-Fuentes-Truck-and-Auto-Sales-sp397591
D-24787030,Texas Izi Auto,N/A,3216 Washington Ave,Houston,TX,"Houston, TX",N/A,77007,Returned call -very cordial,https://static1.cargurus.com/gfx/dealersnearme/dealer_logo_placeholder.png,2 mi,4.8,8,https://www.cargurus.com/Cars/m-Texas-Izi-Auto-sp446378
