Dealer ID,Name,Email,Phone,Dealer Full Address,City,State,Address,Dealer Iframe Map,Zip Code,Country,About Me,Image,Radius,Listing Info,Status Details,Custom url,Website Link
D-24770071,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770072,Helfman Maserati of Houston,N/A,7135336100,"7720 Katy Fwy B, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy B,N/A,77024,USA,N/A,N/A,3.03 miles away,105 cars for sale,"104 new, 1 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=33951,https://helfmanimports.com/
D-24770073,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770074,Helfman Maserati of Houston,N/A,7135336100,"7720 Katy Fwy B, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy B,N/A,77024,USA,N/A,N/A,3.03 miles away,105 cars for sale,"104 new, 1 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=33951,https://helfmanimports.com/
D-24770075,Helfman Dodge Chrysler Jeep RAM Fiat,N/A,7135336100,"7720 Katy Fwy A, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy A,N/A,77024,USA,N/A,N/A,3.03 miles away,546 cars for sale,"476 new, 70 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=34002,https://www.helfmandodge.net
D-24770076,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770077,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770078,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770079,Helfman Maserati of Houston,N/A,7135336100,"7720 Katy Fwy B, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy B,N/A,77024,USA,N/A,N/A,3.03 miles away,105 cars for sale,"104 new, 1 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=33951,https://helfmanimports.com/
D-24770080,Helfman Dodge Chrysler Jeep RAM Fiat,N/A,7135336100,"7720 Katy Fwy A, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy A,N/A,77024,USA,N/A,N/A,3.03 miles away,546 cars for sale,"476 new, 70 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=34002,https://www.helfmandodge.net
D-24770081,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770082,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770083,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770084,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,93 cars for sale,"0 new, 93 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
