Dealer ID,Name,Email,Phone,Dealer Full Address,City,State,Address,Dealer Iframe Map,Zip Code,Country,About Me,Image,Radius,Listing Info,Status Details,Custom url,Website Link
D-24770071,"Tommie Vaughn Motors, Inc.",N/A,8327421177,"1201 N Shepherd Dr, Houston, TX 77008, USA",Houston,TX,1201 N Shepherd Dr,N/A,77008,USA,N/A,N/A,1.26 miles away,97 cars for sale,"0 new, 97 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=42453,https://www.tommievaughnmotors.com/
D-24770072,Helfman Maserati of Houston,N/A,7135336100,"7720 Katy Fwy B, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy B,N/A,77024,USA,N/A,N/A,3.03 miles away,99 cars for sale,"98 new, 1 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=33951,https://helfmanimports.com/
D-24770073,Helfman Dodge Chrysler Jeep RAM Fiat,N/A,7135336100,"7720 Katy Fwy A, Houston, TX 77024, USA",Houston,TX,7720 Katy Fwy A,N/A,77024,USA,N/A,N/A,3.03 miles away,530 cars for sale,"450 new, 80 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=34002,https://www.helfmandodge.net
D-24770074,Russell & Smith Ford,N/A,7132308368,"3440 S Loop W, Houston, TX 77025, USA",Houston,TX,3440 S Loop W,N/A,77025,USA,N/A,N/A,6.74 miles away,40 cars for sale,"0 new, 40 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=31981,https://www.rsford.com/
D-24770075,Vista Cars & Trucks,N/A,2814451800,"7955 Veterans Memorial Dr, Houston, TX 77088, USA",Houston,TX,7955 Veterans Memorial Dr,N/A,77088,USA,N/A,N/A,6.91 miles away,50 cars for sale,"0 new, 50 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=34734,http://www.vistacars.com/
D-24770076,Mike Calvert Toyota,N/A,7135588100,"2333 S Loop W, Houston, TX 77054, USA",Houston,TX,2333 S Loop W,N/A,77054,USA,N/A,N/A,6.95 miles away,752 cars for sale,"318 new, 299 used, 135 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=31250,https://www.mikecalverttoyota.com/
D-24770077,Team Gillman Chevrolet,N/A,7132723600,"7000 Southwest Fwy, Houston, TX 77074, USA",Houston,TX,7000 Southwest Fwy,N/A,77074,USA,N/A,N/A,7.09 miles away,391 cars for sale,"303 new, 88 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=51521,https://www.teamgillmanchevrolet.com/
D-24770078,Mac Haik Ford,N/A,7139325000,"10333 Katy Fwy, Houston, TX 77024, USA",Houston,TX,10333 Katy Fwy,N/A,77024,USA,N/A,N/A,7.96 miles away,176 cars for sale,"0 new, 176 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=837,http://www.machaikford.com/
D-24770079,Mac Haik Ford,N/A,7139325000,"10333 Katy Fwy, Houston, TX 77024, USA",Houston,TX,10333 Katy Fwy,N/A,77024,USA,N/A,N/A,7.96 miles away,162 cars for sale,"0 new, 162 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=40788,https://www.mackhaikford.com
D-24770080,Doggett Ford,N/A,2819313371,"9225 North Fwy, Houston, TX 77037, USA",Houston,TX,9225 North Fwy,N/A,77037,USA,N/A,N/A,8.23 miles away,83 cars for sale,"0 new, 83 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=41776,https://www.doggettford.com/
D-24770081,West Point Lincoln,N/A,2814932000,"11666 Katy Fwy, Houston, TX 77043, USA",Houston,TX,11666 Katy Fwy,N/A,77043,USA,N/A,N/A,10.18 miles away,576 cars for sale,"455 new, 75 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=33338,http://www.westpointlincoln.com
D-24770082,Mossy Nissan,N/A,2815895300,"12150 Katy Fwy, Houston, TX 77079, USA",Houston,TX,12150 Katy Fwy,N/A,77079,USA,N/A,N/A,10.83 miles away,568 cars for sale,"497 new, 44 used, 0 certified pre-owned",https://driverbase.com/inventory/dealer?dealershipId=34314,https://www.mossynissanhouston.com
